FID,文保级,景点介绍（80–150字）,推荐游览时长,标签,编写依据
0,,姜嫄水乡依漆水河展开，是武功古镇重要的休闲水岸空间，兼具滨水游憩、民俗展示与夜游氛围。游客可沿亲水平台观景、拍照，也可结合周边古镇文化节点形成半日游线路，适合慢节奏体验关中水乡风貌。,1.5–2小时,"亲子,摄影,休闲游,民俗体验",原表POI字段；姜嫄水乡资料：https://m.baike.com/wikiid/1889512671769171938；综合资料：https://www.sohu.com/a/549815335_100185418
1,,姜嫄阁位于新区道路交汇附近，可作为认识姜嫄文化和武功农耕源流的观景节点。建筑形象具有地方纪念性，适合短暂停留、远眺周边水乡与古镇风貌，并串联姜嫄水乡游线，是讲述周祖母题材的合适开篇。,30–45分钟,"研学,摄影,文化打卡,亲子",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
2,,乡愁民俗文化体验展馆靠近姜嫄水乡片区，适合集中了解关中乡土生活、传统器具与地方记忆。展馆内容可与古镇游览、农耕文化讲解结合，增强游客对武功民俗、乡村变迁和非遗体验的直观感知。,45–60分钟,"研学,亲子,民俗体验,乡村记忆",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
3,,皇家尚林苑水乡花海以花卉景观和水乡环境为主要吸引物，适合春夏季赏花、拍照和亲子慢游。可与姜嫄水乡、湿地公园共同组成生态休闲线路，突出田园观光、户外游憩和季节性打卡体验。,1–1.5小时,"摄影,亲子,休闲游,花海观光",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
4,,玉隍庙位于武功镇新区片区，是一处具有传统信仰色彩的寺庙道观类景点。建筑体量不大，适合作为古镇文化游线中的短暂停留点，感受地方庙宇空间、香火民俗与乡土信仰氛围。适合顺路参观。,20–30分钟,"民俗体验,摄影,文化游,祈福",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
5, 县级,二水村遗址为县级文保点，体现武功地区古代聚落和历史遗存价值。游览以遗址认知、文化解说和现场踏勘为主，适合结合古镇历史、农耕文明、考古保护和乡土记忆主题开展研学活动。,30–45分钟,"研学,历史遗址,文化游,摄影",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
6,,漆水河湿地公园依托漆水河生态廊道建设，是武功古镇片区重要的自然休闲空间。适合散步观景、亲水摄影和生态科普，也可与姜嫄水乡、漆沮湖等节点形成连续滨水游线，适合家庭慢游。,1–2小时,"亲子,摄影,生态科普,休闲游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
7,省级,苏武墓位于武功镇龙门村苏武陵园，是纪念汉代名臣苏武的重要历史文化节点。景点适合开展忠节文化、汉代历史与乡土名人主题讲解，可与苏武纪念馆联动形成研学参观线路，突出爱国教育价值。,30–45分钟,"研学,历史文化,爱国教育,摄影",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
8,,苏武纪念馆围绕苏武事迹与地方历史展开展示，是武功古镇历史文化游的重要室内节点。参观可帮助游客系统理解苏武牧羊、忠贞守节等文化内涵，适合学校研学、团队讲解和雨天备用游览。,45–60分钟,"研学,亲子,爱国教育,历史文化",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
9,,圣母庙位于稷山上阁寺内，承载着姜嫄圣母信仰与地方祈福传统。景点适合与姜嫄圣母墓、后稷文化相关节点一并游览，从民间信仰角度认识武功农耕文化、周人传说和乡土祭祀习俗。,20–30分钟,"民俗体验,研学,祈福,文化游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
10,,太白庙位于武功镇香山顶太白城旁，是古镇周边山地庙宇类节点。游览以登高、访古和感受传统庙宇氛围为主，适合与香山寺、清凉寺等形成小尺度宗教文化游线，兼具眺望与静心体验。,30–45分钟,"摄影,祈福,文化游,登高",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
11,,清凉寺位于康家山一带，是武功镇传统寺庙道观类景点。这里适合短线访古、静心停留和了解地方佛寺空间格局，也可结合周边山体与古镇景点安排半日文化游，强化静态休闲体验。,30–45分钟,"祈福,文化游,摄影,静心休闲",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
12,,睡佛殿位于新区四路与宣化路附近，是以佛教造像和礼佛空间为特色的文化节点。景点规模适中，适合在古镇或水乡游览过程中顺路停留，体验宁静的宗教文化氛围，并补充寺庙游览内容。,20–30分钟,"祈福,文化游,摄影,亲子",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
